text,emotion
Jestem pelen emocji!,szczesliwy
To jest ponad moje sily,przerazony
Po prostu nie wiem co sie dzieje,zdegustowany
Zajme sie tym pozniej,neutralny
Patrze na spokojne jezioro czujac jak kazda fala wnosi spokoj do mojego umyslu.,kontemplujacy
Znowu wszystko sie rozpadlo,zly
Za chwile to bedzie gotowe,neutralny
Zaraz to zalatwimy,neutralny
Nie wiem jak to przelknac. ,zdegustowany
Jak mozna tak lekcewazyc zasady?,zdegustowany
To mnie calkowicie wyczerpuje,przerazony
Po takim bledzie trudno bedzie zbudowac zaufanie na nowo. ,zdegustowany
Nie moge tego zaakceptowac. ,zdegustowany
Zaraz wroce z odpowiedzia,neutralny
Caly czas musze to naprawiac!,zly
Wow to jest zupelnie inne niz sie spodziewalem! ,zaskoczony
Wow to jest po prostu rewelacyjne!,zaskoczony
Przyroda pokazuje co naprawde wazne.,kontemplujacy
Jestem w pelni spelniony!,szczesliwy
Po prostu nie potrafie juz tego zniesc,zly
Znowu zaczynam wszystko od nowa,zly
Nie mam juz cierpliwosci!,zly
Chwile ciszy wypelniaja mnie spokojem ktorego nie umiem znalezc w slowach.,kontemplujacy
Nie moge sie nacieszyc!,szczesliwy
Po prostu nie wiem co robic dalej!,zly
To jest po prostu szokujace. ,zdegustowany
To chyba najgorsza rzecz jaka mogla sie zdarzyc. ,zdegustowany
Czuje sie zmarnowany i zniechecony tym wszystkim to po prostu nie do wytrzymania,zdegustowany
Zastanawiam sie jak malo rozumiem kiedy probuje kontrolowac wszystko w zyciu.,kontemplujacy
Wow to jest totalnie nieoczekiwane ale cudowne!,zaskoczony
To co sie dzieje naprawde przekracza wszelkie granice czuje sie totalnie zdegustowany,zdegustowany
Zaraz to zalatwie,neutralny
Spokoj tej chwili przywraca mi wewnetrzna rownowage.,kontemplujacy
Wow to wyglada swietnie naprawde jestem zaskoczony!,zaskoczony
To najlepsza rzecz jaka mi sie przytrafila!,szczesliwy
Jestem pelen radosci!,szczesliwy
Zaraz to rozwiazemy,neutralny
Po prostu nie mam juz sil!,zly
O matko jestem pozytywnie zaskoczony!,zaskoczony
Jestem pelen optymizmu!,szczesliwy
To do omowienia,neutralny
Patrzac na wiatr czuje jak zycie zmienia sie z kazdym podmuchem.,kontemplujacy
To jest jakis koszmar,zly
To jak wspaniala przygoda!,szczesliwy
Jak mozna tak zaniedbac?,zdegustowany
To mnie calkowicie przeroslo.,smutny
To najpiekniejsza chwila mojego zycia!,szczesliwy
Znowu cos nie wyszlo,zly
Jestem pelen entuzjazmu i pozytywnych emocji!,szczesliwy
O matko to jest najlepsze co moglo sie zdarzyc!,zaskoczony
Jestem pelen wdziecznosci!,szczesliwy
Cala organizacja to kpina,zdegustowany
Po prostu nie wiem co o tym myslec. ,zdegustowany
Znowu wszystko mi sie wali,zly
Nie wiem jak sobie z tym poradzic.,smutny
Przygotuje odpowiedz,neutralny
Nie da sie tego wytrzymac,zdegustowany
Jestem pelen radosci!,szczesliwy
Nie wiem jak przez to przejsc.,smutny
Oto moment refleksji nad zyciem.,kontemplujacy
Nie wiem jak to wszystko zrozumiec,przerazony
To absolutnie nie do zaakceptowania,zdegustowany
Za chwile bede wiedzial,neutralny
Nie mam juz na nic motywacji.,smutny
Nie mam nadziei na przyszlosc.,smutny
Nie wiem jak to wszystko rozwiazac!,zly
Nie wiem jak poradzic sobie z tymi emocjami.,smutny
Po prostu nie moge tego przelknac. ,zdegustowany
Znowu czuje sie jakbym nie mial nikogo kto by mnie wspieral.,smutny
Zajmijmy sie tym pozniej,neutralny
To wszystko to jedno wielkie rozczarowanie ktorego nie da sie naprawic. ,zdegustowany
Jestem pelen szczescia!,szczesliwy
Zatrzymuje sie by poczuc jak cisza moze przyniesc wiecej odpowiedzi niz slowa.,kontemplujacy
To jak wspanialy sen!,szczesliwy
Jestem pusty w srodku.,smutny
To jak najlepsza chwila!,szczesliwy
Nie potrafie tego zniesc!,zly
To sie nigdy nie skonczy,zly
Zaraz wroce z rozwiazaniem,neutralny
Nie mam juz sil.,smutny
Chwile kiedy mam czas na myslenie daja mi poczucie spokoju ktorego nie potrafie znalezc w biegu dnia.,kontemplujacy
Co sie stanie jesli to sie wydarzy?!,przerazony
Znowu to sie dzieje jak to mozliwe?,zly
Zglosze te sprawe odpowiednim osobom,neutralny
Po prostu swietna zabawa!,szczesliwy
Kazda sekunda tutaj jest jak dar.,kontemplujacy
Nie moge sie uspokoic!,przerazony
Po prostu nie mam juz cierpliwosci,zly
Nie wiem jak to wszystko ogarnac!,zly
Nie wiem jak przez to przejsc!,przerazony
Patrze na te krajobrazy i czuje cieplo.,kontemplujacy
Nie spodziewalem sie tego!,zaskoczony
Nie mam juz sily na to wszystko,zly
Po prostu nie potrafie tego zrozumiec. ,zdegustowany
Zatrzymujac sie w tym cichym miejscu czuje jak spokojny wiatr wplywa na moje mysli.,kontemplujacy
Zaraz cos sprawdze,neutralny
Znowu wszystko zawiodlo,zly
Nie moge przestac myslec o najgorszym,przerazony
Z kazda minuta ciszy czuje sie coraz bardziej zharmonizowany.,kontemplujacy
Nie mam sily na dalsze trwanie.,smutny
Skontaktuje sie z odpowiednimi osobami,neutralny
Znowu to sie stalo to mnie przerasta,zly
Znowu czuje sie jakbym byl na dnie emocjonalnym.,smutny
Jak mozna byc tak okrutnym w stosunku do innych to naprawde sprawia ze czuje sie zupelnie zdegustowany,zdegustowany
Znowu czuje sie jakbym stracil cel w zyciu.,smutny
Nic mnie juz nie uszczesliwia.,smutny
Znowu czuje sie jakbym stracil sens zycia.,smutny
Nie moge sie uwolnic od tego strachu,przerazony
Totalne rozczarowanie,zdegustowany
Chcialbym uzyskac wiecej szczegolow,neutralny
